1,5,2090034,20160210,1109,"18:08",1109,"18:08",1109,"18:08",1109,1109
1,6,2090034,20160210,1019,"19:41",1019,"19:41",1019,"19:41",1019,1019
3,2,56772512,20160209,1019,"18:24",1019,"18:24",1019,"18:24",1019,1019
3,5,56772512,20160209,1109,"11:21",1109,"11:21",1109,"11:21",1109,1109
3,6,56772512,20160209,1019,"18:42",1019,"18:42",1019,"18:42",1019,1019
5,2,11700425,20160210,1019,"08:43",1019,"08:43",1019,"08:43",1019,1019
5,5,11700425,20160210,1109,"16:57",1109,"16:57",1109,"16:57",1109,1109
9,5,56001042,20160209,1109,"07:41",1109,"07:41",1109,"07:41",1109,1109
9,6,56001042,20160209,1019,"13:57",1019,"13:57",1019,"13:57",1019,1019
test,2,2089816,20160210,1019,"16:15",1019,"16:15",1019,"16:15",1019,1019, -- test parse
11,test,2089816,20160210,1099,"09:33",1099,"09:33",1099,"09:33",1099,1099, -- test parse
11,6,test,20160210,999,"19:57",1009,"15:32",999,"19:57",1009,1004, -- test parse
15,5,56001113,test,1099,"20:22",1099,"20:22",1099,"20:22",1099,1099, -- test parse
15,6,56001113,20160209,1009,"17:57",1009,"17:57",1009,"17:57",test,1009, -- test parse
17121212,2,11700846,20160210,999,"13:21",999,"13:21",999,"13:21",999,999, -- test non existing cat no
17,62,11700846,20160210,1009,"16:40",1009,"16:40",1009,"16:40",1009,1009, -- test non existing fuel
18,2,232232434,20160210,999,"18:28",999,"18:28",999,"18:28",999,999, -- test AllStarMerchantNo
18,6,55552371,20163232,1009,"17:47",1009,"17:47",1009,"17:47",1009,1009, -- test bad formatted date
19,2,50509582,20160210,1019,"19:35",1019,"19:35",1019,"19:35",1212232323,1019, -- test fuel price
19,5,50509582,20160210,1109,"18:51",1109,"18:51",1109,"18:51",1109,1109
19,6,50509582,20160210,1009,"19:33",1009, -- test incomplete row
-- test incomplete row,1109,"17:10",1109,"17:10",1109,1109
21,2,56001249,20160209,1019,"18:43",1019,"18:43",1019,"18:43",1019,1019
21,6,56001249,20160209,999,"18:29",999,"18:29",999,"18:29",999,999
23,1,2089052,20160209,1119,"21:37",1119,"21:37",1119,"21:37",1119,1119
23,2,2089052,20160210,1029,"19:13",1029,"19:13",1029,"19:13",1029,1029
23,5,2089052,20160210,1099,"00:25",1099,"00:25",1099,"00:25",1099,1099
23,6,2089052,20160210,1009,"19:37",1009,"19:37",1009,"19:37",1009,1009
25,2,75198720,20160210,999,"15:09",999,"15:09",999,"15:09",999,999
25,6,75198720,20160210,989,"18:43",989,"18:43",989,"18:43",989,989
29,1,9970277,20160210,1159,"19:26",1159,"19:26",1159,"19:26",1159,1159
29,6,9970277,20160210,1019,"20:55",1019,"20:55",1019,"20:55",1019,1019
31,2,4100001,20160210,1019,"09:07",1019,"09:07",1019,"09:07",1019,1019
31,6,4100001,20160210,1019,"18:50",1019,"18:50",1019,"18:50",1019,1019
43,1,18003574,20160210,1119,"16:35",1119,"16:35",1119,"16:35",1119,1119
43,2,18003574,20160210,1029,"12:13",1029,"12:13",1029,"12:13",1029,1029
43,6,18003574,20160210,1019,"08:05",1019,"08:05",1019,"08:05",1019,1019
46,2,9970295,20160210,1029,"20:19",1029,"20:19",1029,"20:19",1029,1029
46,6,9970295,20160210,1019,"13:53",1019,"13:53",1019,"13:53",1019,1019
48,5,62595001,20160209,1099,"16:06",1099,"16:06",1099,"16:06",1099,1099
48,6,62595001,20160209,1029,"09:21",1029,"09:21",1029,"09:21",1029,1029
51,1,55550072,20160209,1109,"15:50",1109,"15:50",1109,"15:50",1109,1109
